Price,Strike,IV
1557.29,3100.0,0.826
1462.73,3200.0,0.7981999999999999
1369.1,3300.0,0.7722
1276.62,3400.0,0.7481
1185.54,3500.0,0.7258
1096.14,3600.0,0.7054
1008.77,3700.0,0.6867
923.78,3800.0,0.6698999999999999
841.61,3900.0,0.6548
762.67,4000.0,0.6414
687.43,4100.0,0.6297999999999999
616.32,4200.0,0.62
549.75,4300.0,0.6118
488.09,4400.0,0.6054999999999999
431.63,4500.0,0.6009
380.55,4600.0,0.5982
334.94,4700.0,0.5975
294.76,4800.0,0.5988
259.8,4900.0,0.6022
229.71,5000.0,0.6076
203.95,5100.0,0.6147
181.83,5200.0,0.623
162.66,5300.0,0.632
145.83,5400.0,0.6409999999999999
130.91,5500.0,0.6498999999999999
117.63,5600.0,0.6585
105.8,5700.0,0.6668000000000001
95.3,5800.0,0.6748999999999999
86.0,5900.0,0.6829999999999999
77.79,6000.0,0.6911
70.54,6100.0,0.6992
