CALL: Открыт.позиций;CALL: Последняя сделка, Значение;CALL: Последняя сделка, Дата;CALL: Последняя сделка, Изменение;CALL: ПОКУПКА;CALL: ПРОДАЖА;CALL: Расчетная цена;CALL: Теоретическая цена;СТРАЙК;IV;PUT: Теоретическая цена;PUT: Расчетная цена;PUT: ПОКУПКА;PUT: ПРОДАЖА;PUT: Последняя сделка, Значение;PUT: Последняя сделка, Дата;PUT: Последняя сделка, Изменение;PUT: Открыт. позиций;
;;;;;;1550,2900;1557,2900;3100,000;82,60;31,84;38,7300;;97,0100;;;;;
;;;;;;1456,3900;1462,7300;3200,000;79,82;36,48;44,0000;;97,0100;;;;;
;;;;;;1363,4500;1369,1000;3300,000;77,22;42,05;50,2400;;97,0100;;;;;
;;;;;;1271,6700;1276,6200;3400,000;74,81;48,76;57,6300;;97,0100;;;;;
;;;;;;1181,2800;1185,5400;3500,000;72,58;56,87;66,4200;;96,0000;;;;;
;;;;;;1092,5700;1096,1400;3600,000;70,54;66,67;76,8800;;872,4400;;;;;
;;;;;;1005,8200;1008,7700;3700,000;68,67;78,49;89,3100;;872,4400;;;;;
100;;;;0,0200;9614,0000;921,4000;923,7800;3800,000;66,99;92,71;104,0600;;813,3900;;;;;
;;;;;;839,6700;841,6100;3900,000;65,48;109,72;121,5100;;813,3900;;;;;
;;;;;;761,0200;762,6700;4000,000;64,14;129,99;142,0400;;813,3900;;;;;
2;;;;510,0000;7236,0000;685,8800;687,4300;4100,000;62,98;153,94;166,0700;;813,3900;;;;;
;;;;;;614,6500;616,3200;4200,000;62,00;182,02;194,0100;;813,3900;;;;;
12;;;;32,0600;1141,0000;547,7000;549,7500;4300,000;61,18;214,65;226,2400;0,0100;812,3800;;;;;
;;;;0,0100;1101,8300;485,3700;488,0900;4400,000;60,55;252,19;263,0900;0,0100;871,4300;;;;;
;;;;0,0100;1061,0300;427,9500;431,6300;4500,000;60,09;294,92;304,8500;0,0100;930,6300;;;;;
40;470,0000;07.04.23 13:18:49;;270,0000;470,0000;375,6300;380,5500;4600,000;59,82;343,04;351,7000;0,0100;991,3600;;;;;
;;;;227,0000;471,0100;328,5000;334,9400;4700,000;59,75;396,62;403,7400;0,0100;1055,2200;;;;;
52;320,0000;07.04.23 15:03:23;;1,5200;338,0600;286,5600;294,7600;4800,000;59,88;455,63;460,9800;0,0100;1118,9500;;;;;
;;;;0,0100;339,0700;249,7000;259,8000;4900,000;60,22;519,87;523,3000;0,0100;1181,7500;;;;;
;;;;;339,0700;217,7300;229,7100;5000,000;60,76;588,98;590,5000;;;;;;;
;;;;;339,0700;190,3100;203,9500;5100,000;61,47;662,41;662,2600;;;;;;;
;;;;;339,0700;167,0300;181,8300;5200,000;62,30;739,49;738,1600;;;;;;;
;;;;;339,0700;147,3700;162,6600;5300,000;63,20;819,51;817,6600;;;;;;;
;;;;;471,0100;130,7100;145,8300;5400,000;64,10;901,87;900,1900;;;;;;;
;;;;;471,0100;116,4700;130,9100;5500,000;64,99;986,15;985,1200;;;;;;;
;;;;;471,0100;104,1100;117,6300;5600,000;65,85;1072,06;1071,9400;;;;;;;
;;;;;950,3600;93,2500;105,8000;5700,000;66,68;1159,44;1160,2500;;;;;;;
;;;;;950,3600;83,6400;95,3000;5800,000;67,49;1248,13;1249,8100;;;;;;;
;;;;;950,3600;75,1000;86,0000;5900,000;68,30;1338,03;1340,4500;;;;;;;
;;;;;950,3600;67,5300;77,7900;6000,000;69,11;1429,01;1432,0500;;;;;;;
;;;;;950,3600;60,8200;70,5400;6100,000;69,92;1520,96;1524,5200;;;;;;;
