CALL: Открыт.позиций;CALL: Последняя сделка, Значение;CALL: Последняя сделка, Дата;CALL: Последняя сделка, Изменение;CALL: ПОКУПКА;CALL: ПРОДАЖА;CALL: Расчетная цена;CALL: Теоретическая цена;СТРАЙК;IV;PUT: Теоретическая цена;PUT: Расчетная цена;PUT: ПОКУПКА;PUT: ПРОДАЖА;PUT: Последняя сделка, Значение;PUT: Последняя сделка, Дата;PUT: Последняя сделка, Изменение;PUT: Открыт. позиций;
;;;;10,0000;;91,0000;88,9500;130,000;107,69;1,95;5,4600;;3,9200;;;;10;
;;;;10,0000;;86,3200;84,1400;135,000;102,89;2,09;5,7400;;3,9200;;;;4;
;;;;;;81,6600;79,3400;140,000;98,26;2,25;6,0300;;3,4500;;;;414;
;;;;;;77,0100;74,5500;145,000;93,82;2,43;6,3400;;15,4200;;;;384;
50;;;;15,0000;;72,3800;69,8000;150,000;89,57;2,64;6,6700;;15,4200;;;;292;
;;;;;;67,7900;65,0900;155,000;85,54;2,88;7,0400;;15,4200;;;;;
4;;;;1,5500;;63,2400;60,4100;160,000;81,72;3,17;7,4500;;15,0000;;;;210;
;;;;0,0100;;58,7600;55,8000;165,000;78,12;3,51;7,9200;;15,4200;1,44;06.04.23 21:57:17;;154;
598;;;;15,0100;60,0000;54,3400;51,2500;170,000;74,76;3,92;8,4700;6,5000;14,9500;6,50;07.04.23 18:09:26;;4010;
2940;;;;15,0100;;50,0100;46,7900;175,000;71,62;4,42;9,1000;6,6600;19,8900;;;;36;
1498;;;;16,0100;48,0000;45,7900;42,4300;180,000;68,72;5,02;9,8300;;19,8900;;;;24;
312;;;;0,0200;42,0000;41,6900;38,1900;185,000;66,04;5,74;10,6900;0,0100;19,8900;;;;16;
3506;;;;0,1200;30,0000;37,7300;34,1100;190,000;63,60;6,62;11,7000;12,2200;19,4200;19,42;06.04.23 23:01:48;38,71;2414;
5088;;;;0,0200;30,4700;33,9400;30,2000;195,000;61,38;7,67;12,8700;15,7600;26,9500;14,76;07.04.23 11:33:23;-1,60;1642;
9272;;;;1,3200;26,0000;30,3500;26,4900;200,000;59,39;8,92;14,2300;5,0000;29,0500;16,59;07.04.23 11:34:10;-15,83;14726;
17254;;;;0,0100;21,1100;26,9600;23,0200;205,000;57,62;10,41;15,8000;20,5500;35,0000;40,42;07.04.23 17:48:32;104,45;16586;
4582;;;;0,0100;17,4500;23,8100;19,8100;210,000;56,07;12,16;17,6100;23,2100;39,9500;39,95;07.04.23 17:48:32;48,85;19988;
5282;14,1000;07.04.23 18:04:19;17,5000;11,0000;14,1000;20,9000;16,8800;215,000;54,75;14,19;19,6600;30,0000;42,4700;31,80;07.04.23 16:48:58;17,78;11486;
6522;12,5700;07.04.23 10:46:10;25,7000;8,0000;12,5700;18,2700;14,2600;220,000;53,65;16,53;21,9800;30,4300;42,0000;;;;2102;
2434;;;;0,0100;11,0400;15,9000;11,9400;225,000;52,77;19,17;24,5700;34,3400;55,0000;45,84;07.04.23 13:10:00;3,73;2126;
8658;9,5700;07.04.23 11:35:22;;2,0000;9,5200;13,8100;9,9400;230,000;52,11;22,13;27,4400;38,4100;60,0000;;;;1948;
1382;;;;;9,9900;11,9900;8,2400;235,000;51,69;25,38;30,5800;0,0100;235,0000;;;;;
32;10,1400;07.04.23 11:33:14;;;9,9900;10,4200;6,8200;240,000;51,50;28,92;33,9700;20,0000;239,6900;;;;6;
4;;;;;9,9900;9,0900;5,6500;245,000;51,55;32,72;37,6000;0,0100;245,0000;;;;;
6484;8,2000;07.04.23 11:33:58;-17,9200;;7,9900;7,9700;4,7200;250,000;51,83;36,74;41,4400;0,0100;;;;;;
2;8,6700;07.04.23 11:33:58;;;8,4600;7,0400;3,9700;255,000;52,33;40,96;45,4600;;;;;;;
;;;;;8,4600;6,2600;3,3700;260,000;53,02;45,32;49,6500;;;;;;;
;;;;;8,4600;5,6100;2,8900;265,000;53,85;49,80;53,9600;;;;;;;
994;;;;;8,4600;5,0700;2,5100;270,000;54,77;54,37;58,3700;;;;;;;
;;;;;8,4600;4,6100;2,1800;275,000;55,73;59,01;62,8700;;;;;;;
;;;;;8,4600;4,2200;1,9200;280,000;56,70;63,70;67,4400;;;;;;;
;;;;;8,4600;3,8900;1,6900;285,000;57,68;68,43;72,0700;;;;;;;
2;;;;;8,4600;3,6000;1,4900;290,000;58,66;73,20;76,7400;;;;;;;
